nb_shards,nb_requests,accuracy,retraining_time
1,0,0.9655548778530384,100.27398538589478
1,1,0.9651375557767006,102.32523560523987
1,2,0.9653943693621393,105.67727899551392
1,3,0.9650091489839813,102.10126090049744
1,4,0.9674167763474688,106.85014224052428
1,5,0.9659721999293762,103.01857376098631
1,6,0.9654585727584989,104.80983448028564
1,7,0.9673204712529293,104.18115186691284
1,8,0.9658758948348367,116.05701088905334
1,9,0.9657474880421174,110.38524055480957
1,10,0.966806844082052,106.64938688278198
1,11,0.9650091489839813,114.30918383598328
1,12,0.9655227761548586,106.931325674057
1,13,0.9672241661583898,109.04316759109496
1,14,0.9660364033257359,123.20187759399414
1,15,0.9654906744566788,142.62891316413882
