nb_shards,nb_requests,accuracy,retraining_time
5,0,0.9720082177709296,162.139577627182
5,1,0.9720724191063174,33.30863332748413
5,2,0.9719761171032357,31.95620346069336
5,3,0.9714143554185927,98.80700898170471
5,4,0.971334103749358,129.05631017684937
5,5,0.9719600667693888,129.26933002471924
5,6,0.9715427580893683,96.75889825820923
5,7,0.972200821777093,130.95354390144348
5,8,0.9723773754494094,129.1463017463684
5,9,0.9715588084232152,160.81054067611694
5,10,0.9718316640986132,162.5629279613495
5,11,0.9716230097586029,161.86062097549438
5,12,0.9717514124293786,160.67606043815613
5,13,0.9716711607601438,128.8207938671112
5,14,0.9718156137647663,162.44679856300354
5,15,0.9714304057524397,161.1165509223938

nb_shards,nb_requests,accuracy,retraining_time
5,0,0.9713822547508988,164.41389417648315
5,1,0.9712217514124294,33.12353277206421
5,2,0.9717193117616847,64.86351227760315
5,3,0.971927966101695,65.1474175453186
5,4,0.9721526707755521,65.77916145324707
5,5,0.9715427580893683,98.69353556632994
5,6,0.9720403184386235,160.60733819007874
5,7,0.9712378017462763,129.67444038391113
5,8,0.9715748587570622,96.86666321754456
5,9,0.9708365434001027,131.13634967803955
5,10,0.9714785567539805,161.6240541934967
5,11,0.9712538520801233,163.60141921043396
5,12,0.9718637647663071,162.01206803321838
5,13,0.9720884694401644,162.74895119667053
5,14,0.9719921674370827,163.99443769454956
5,15,0.9715427580893683,131.0882089138031
5,0,0.705,0.5372171401977539
5,1,0.705,0.1056370735168457
5,2,0.705,0.2172718048095703
5,3,0.705,0.31742191314697266
5,4,0.705,0.3176712989807129
5,5,0.705,0.43207383155822754
5,6,0.705,0.43544626235961914
5,7,0.705,0.4397573471069336
5,8,0.705,0.4336221218109131
5,9,0.705,0.5344960689544678
5,10,0.705,0.5427796840667725
5,11,0.705,0.5315096378326416
5,12,0.705,0.5514202117919922
5,13,0.705,0.5366230010986328
5,14,0.705,0.539499044418335
5,15,0.705,0.5550746917724609
1,0,0.7,0.5001628398895264
1,1,0.705,0.5020377635955809
1,2,0.705,0.5573444366455078
1,3,0.705,0.5122363567352295
1,4,0.705,0.5091636180877686
1,5,0.705,0.5218217372894287
1,6,0.705,0.5488085746765137
1,7,0.705,0.5111775398254395
1,8,0.705,0.5103693008422852
1,9,0.705,0.5107786655426025
1,10,0.705,0.5195069313049316
1,11,0.705,0.5066866874694824
1,12,0.705,0.5151457786560059
1,13,0.7,0.512941837310791
1,14,0.705,0.5014450550079346
1,15,0.705,0.544520378112793

