nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5,0,0.66, 0.38, 0.28, 0.47, 0.47,  3.981576919555664
5,1,0.66, 0.38, 0.27, 0.46, 0.46,  0.7883727550506592
5,2,0.66, 0.37, 0.28, 0.44, 0.44,  1.6136877536773682
5,3,0.66, 0.39, 0.3, 0.47, 0.47,  2.336552858352661
5,4,0.65, 0.4, 0.31, 0.47, 0.47,  2.332490921020508
5,5,0.66, 0.41, 0.32, 0.47, 0.47,  3.9116530418395996
5,6,0.66, 0.42, 0.32, 0.49, 0.49,  2.412196397781372
5,7,0.67, 0.36, 0.27, 0.42, 0.42,  3.163395404815674
5,8,0.66, 0.37, 0.27, 0.44, 0.44,  3.93681263923645
5,9,0.66, 0.37, 0.27, 0.44, 0.44,  3.9846389293670654
5,10,0.65, 0.35, 0.25, 0.42, 0.42,  3.1787056922912598
5,11,0.66, 0.35, 0.25, 0.43, 0.43,  3.963224172592163
5,12,0.66, 0.41, 0.31, 0.48, 0.48,  3.212794065475464
5,13,0.66, 0.34, 0.24, 0.41, 0.41,  3.984520673751831
5,14,0.66, 0.4, 0.31, 0.47, 0.47,  4.006903648376465
5,15,0.66, 0.36, 0.26, 0.43, 0.43,  3.9915931224823
5,16,0.66, 0.34, 0.24, 0.41, 0.41,  4.076141357421875
5,17,0.67, 0.36, 0.26, 0.43, 0.43,  4.0579307079315186
5,18,0.67, 0.34, 0.26, 0.4, 0.4,  4.028541564941406
5,19,0.66, 0.37, 0.27, 0.45, 0.45,  3.991827964782715
5,20,0.66, 0.39, 0.29, 0.47, 0.47,  4.012766122817993
5,21,0.66, 0.38, 0.28, 0.45, 0.45,  4.046436548233032
5,22,0.67, 0.34, 0.26, 0.39, 0.39,  3.965027332305908
5,23,0.67, 0.36, 0.27, 0.42, 0.42,  3.9946982860565186
5,24,0.66, 0.32, 0.23, 0.39, 0.39,  3.961982488632202
5,25,0.66, 0.38, 0.29, 0.45, 0.45,  4.0302979946136475
5,26,0.66, 0.37, 0.28, 0.43, 0.43,  4.010394811630249
5,27,0.67, 0.38, 0.3, 0.44, 0.44,  4.0569682121276855
5,28,0.67, 0.35, 0.27, 0.4, 0.4,  4.010525465011597
5,29,0.66, 0.39, 0.3, 0.46, 0.46,  4.002462387084961
5,30,0.66, 0.32, 0.24, 0.38, 0.38,  4.0496697425842285
5,31,0.66, 0.37, 0.28, 0.42, 0.42,  4.082215309143066
5,32,0.67, 0.35, 0.27, 0.41, 0.41,  3.9824774265289307
5,33,0.66, 0.4, 0.3, 0.48, 0.48,  4.027065277099609
5,34,0.66, 0.33, 0.24, 0.4, 0.4,  4.008111238479614
5,35,0.66, 0.36, 0.26, 0.43, 0.43,  4.057652473449707
5,36,0.66, 0.37, 0.26, 0.45, 0.45,  4.043092966079712
5,37,0.66, 0.38, 0.28, 0.46, 0.46,  4.065181016921997
5,38,0.66, 0.32, 0.23, 0.38, 0.38,  4.044443130493164
5,39,0.67, 0.37, 0.27, 0.44, 0.44,  4.0214643478393555
5,40,0.66, 0.34, 0.25, 0.39, 0.39,  4.04736590385437
5,41,0.66, 0.42, 0.34, 0.47, 0.47,  4.022915840148926
5,42,0.66, 0.43, 0.34, 0.5, 0.5,  4.0715415477752686
5,43,0.66, 0.39, 0.3, 0.45, 0.45,  4.03574275970459
5,44,0.67, 0.36, 0.27, 0.43, 0.43,  4.097521066665649
5,45,0.67, 0.37, 0.29, 0.43, 0.43,  4.02821159362793
5,46,0.65, 0.42, 0.32, 0.49, 0.49,  4.036425828933716
5,47,0.66, 0.37, 0.28, 0.44, 0.44,  4.004911661148071
5,48,0.66, 0.36, 0.27, 0.43, 0.43,  3.9846103191375732
5,49,0.67, 0.38, 0.28, 0.44, 0.44,  4.020927667617798
5,50,0.65, 0.36, 0.27, 0.43, 0.43,  4.068876504898071
5,51,0.66, 0.35, 0.27, 0.39, 0.39,  4.078420162200928
5,52,0.66, 0.33, 0.24, 0.39, 0.39,  3.922217607498169
5,53,0.66, 0.34, 0.26, 0.4, 0.4,  3.9764039516448975
5,54,0.66, 0.33, 0.24, 0.39, 0.39,  3.989870548248291
5,55,0.66, 0.35, 0.25, 0.43, 0.43,  4.03883171081543
5,56,0.66, 0.35, 0.25, 0.43, 0.43,  4.042153835296631
5,57,0.66, 0.37, 0.28, 0.44, 0.44,  4.052259922027588
5,58,0.67, 0.36, 0.28, 0.42, 0.42,  3.919261932373047
5,59,0.66, 0.32, 0.22, 0.4, 0.4,  4.04970645904541
5,60,0.66, 0.32, 0.23, 0.38, 0.38,  3.9562900066375732
5,61,0.66, 0.39, 0.28, 0.46, 0.46,  4.047300338745117
5,62,0.66, 0.36, 0.26, 0.43, 0.43,  3.9688708782196045
5,63,0.67, 0.34, 0.25, 0.4, 0.4,  4.0093982219696045
5,64,0.66, 0.34, 0.26, 0.39, 0.39,  4.002373933792114
5,65,0.67, 0.39, 0.29, 0.46, 0.46,  4.024576663970947
5,66,0.66, 0.34, 0.24, 0.42, 0.42,  4.049889802932739
5,67,0.67, 0.38, 0.29, 0.45, 0.45,  4.006087064743042
5,68,0.66, 0.39, 0.28, 0.47, 0.47,  4.01991868019104
5,69,0.67, 0.31, 0.23, 0.35, 0.35,  4.035934925079346
5,70,0.67, 0.36, 0.27, 0.43, 0.43,  4.02777886390686
5,71,0.66, 0.35, 0.25, 0.44, 0.44,  3.9501781463623047
5,72,0.67, 0.38, 0.28, 0.45, 0.45,  4.022233724594116
5,73,0.65, 0.34, 0.26, 0.4, 0.4,  4.009628534317017
5,74,0.67, 0.37, 0.26, 0.44, 0.44,  3.987335205078125
5,75,0.66, 0.37, 0.29, 0.43, 0.43,  4.0133960247039795
5,76,0.66, 0.35, 0.26, 0.43, 0.43,  3.970189332962036
5,77,0.66, 0.36, 0.26, 0.43, 0.43,  4.047777891159058
5,78,0.67, 0.36, 0.26, 0.44, 0.44,  4.029917240142822
5,79,0.67, 0.39, 0.31, 0.46, 0.46,  4.034268140792847
5,80,0.66, 0.34, 0.23, 0.42, 0.42,  4.035550355911255
5,81,0.67, 0.36, 0.27, 0.43, 0.43,  4.040958404541016
5,82,0.67, 0.36, 0.27, 0.42, 0.42,  4.044150114059448
5,83,0.66, 0.37, 0.27, 0.44, 0.44,  3.9843215942382812
5,84,0.66, 0.35, 0.26, 0.43, 0.43,  3.9441256523132324
5,85,0.66, 0.38, 0.29, 0.44, 0.44,  3.9881815910339355
5,86,0.66, 0.34, 0.24, 0.41, 0.41,  3.941579818725586
5,87,0.66, 0.32, 0.23, 0.39, 0.39,  3.946939468383789
5,88,0.66, 0.37, 0.27, 0.44, 0.44,  3.9776177406311035
5,89,0.66, 0.39, 0.31, 0.45, 0.45,  3.9913179874420166
5,90,0.66, 0.4, 0.31, 0.47, 0.47,  4.031519412994385
5,91,0.67, 0.33, 0.24, 0.38, 0.38,  4.069275856018066
5,92,0.66, 0.33, 0.25, 0.39, 0.39,  3.9888930320739746
5,93,0.66, 0.37, 0.28, 0.44, 0.44,  3.960324764251709
5,94,0.67, 0.36, 0.26, 0.43, 0.43,  3.9483354091644287
5,95,0.66, 0.38, 0.28, 0.46, 0.46,  3.882404327392578
5,96,0.66, 0.33, 0.23, 0.39, 0.39,  3.9924845695495605
5,97,0.67, 0.36, 0.27, 0.43, 0.43,  4.008845567703247
5,98,0.66, 0.38, 0.29, 0.45, 0.45,  3.8999528884887695
5,99,0.66, 0.38, 0.28, 0.46, 0.46,  3.974921226501465
5,100,0.67, 0.37, 0.27, 0.44, 0.44,  4.017614126205444
5,101,0.66, 0.39, 0.3, 0.45, 0.45,  3.944430112838745
5,102,0.66, 0.38, 0.3, 0.43, 0.43,  4.028282642364502
5,103,0.66, 0.36, 0.28, 0.41, 0.41,  4.003363132476807
5,104,0.66, 0.38, 0.29, 0.44, 0.44,  3.9529261589050293
5,105,0.65, 0.37, 0.27, 0.44, 0.44,  3.9329166412353516
5,106,0.67, 0.39, 0.28, 0.46, 0.46,  3.951331853866577
5,107,0.66, 0.37, 0.28, 0.44, 0.44,  3.987387180328369
5,108,0.66, 0.35, 0.23, 0.45, 0.45,  4.00056791305542
5,109,0.66, 0.4, 0.32, 0.46, 0.46,  3.9960267543792725
5,110,0.67, 0.35, 0.27, 0.4, 0.4,  3.9880099296569824
5,111,0.66, 0.34, 0.25, 0.42, 0.42,  3.99150013923645
5,112,0.66, 0.39, 0.3, 0.45, 0.45,  3.9877350330352783
