nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5, 0, 0.66, 0.36, 0.26, 0.43, 0.43,  4.180399656295776
5, 1, 0.66, 0.36, 0.26, 0.44, 0.44,  0.8779234886169434
5, 2, 0.66, 0.37, 0.28, 0.43, 0.43,  1.6273653507232666
5, 3, 0.66, 0.35, 0.26, 0.41, 0.41,  1.6682484149932861
5, 4, 0.66, 0.36, 0.26, 0.44, 0.44,  1.6160378456115723
5, 5, 0.66, 0.37, 0.27, 0.45, 0.45,  3.4316446781158447
5, 6, 0.66, 0.35, 0.25, 0.43, 0.43,  2.4727413654327393
5, 7, 0.66, 0.38, 0.28, 0.47, 0.47,  3.35229229927063
5, 8, 0.67, 0.37, 0.28, 0.43, 0.43,  3.2365126609802246
5, 9, 0.67, 0.35, 0.26, 0.41, 0.41,  4.111053705215454
5, 10, 0.66, 0.35, 0.25, 0.42, 0.42,  3.3259053230285645
5, 11, 0.66, 0.36, 0.25, 0.44, 0.44,  2.541287660598755
5, 12, 0.66, 0.37, 0.28, 0.43, 0.43,  3.2971885204315186
5, 13, 0.66, 0.38, 0.29, 0.44, 0.44,  4.239033937454224
5, 14, 0.66, 0.34, 0.25, 0.4, 0.4,  4.143781423568726
5, 15, 0.67, 0.37, 0.27, 0.43, 0.43,  3.2985026836395264
5, 16, 0.66, 0.36, 0.26, 0.43, 0.43,  4.134648084640503
5, 17, 0.67, 0.35, 0.27, 0.4, 0.4,  4.200237512588501
5, 18, 0.67, 0.35, 0.27, 0.41, 0.41,  4.194416284561157
5, 19, 0.66, 0.38, 0.3, 0.45, 0.45,  4.234100341796875
5, 20, 0.66, 0.38, 0.28, 0.46, 0.46,  4.133630037307739
5, 21, 0.66, 0.34, 0.24, 0.41, 0.41,  4.002663612365723
5, 22, 0.67, 0.35, 0.27, 0.41, 0.41,  4.023654222488403
5, 23, 0.66, 0.33, 0.24, 0.4, 0.4,  4.208484888076782
5, 24, 0.67, 0.36, 0.27, 0.42, 0.42,  4.222658634185791
5, 25, 0.66, 0.34, 0.26, 0.4, 0.4,  4.094583988189697
5, 26, 0.66, 0.38, 0.28, 0.46, 0.46,  4.283308506011963
5, 27, 0.66, 0.33, 0.23, 0.41, 0.41,  4.0220630168914795
5, 28, 0.67, 0.37, 0.27, 0.44, 0.44,  4.248027801513672
5, 29, 0.66, 0.36, 0.27, 0.43, 0.43,  4.258499622344971
5, 30, 0.66, 0.39, 0.3, 0.46, 0.46,  4.156713962554932
5, 31, 0.66, 0.35, 0.26, 0.42, 0.42,  4.198223352432251
5, 32, 0.66, 0.39, 0.3, 0.45, 0.45,  4.1979639530181885
5, 33, 0.67, 0.39, 0.32, 0.43, 0.43,  4.06545090675354
5, 34, 0.67, 0.38, 0.28, 0.45, 0.45,  4.282335996627808
5, 35, 0.67, 0.35, 0.26, 0.41, 0.41,  4.282026529312134
5, 36, 0.66, 0.37, 0.28, 0.44, 0.44,  4.021670579910278
5, 37, 0.66, 0.35, 0.26, 0.42, 0.42,  4.238157749176025
5, 38, 0.67, 0.38, 0.27, 0.46, 0.46,  4.312647342681885
5, 39, 0.66, 0.41, 0.31, 0.49, 0.49,  4.199171781539917
5, 40, 0.66, 0.42, 0.32, 0.48, 0.48,  4.197303295135498
5, 41, 0.66, 0.36, 0.26, 0.44, 0.44,  4.061819076538086
5, 42, 0.66, 0.4, 0.29, 0.48, 0.48,  4.044063329696655
5, 43, 0.66, 0.36, 0.25, 0.44, 0.44,  4.094597578048706
5, 44, 0.66, 0.39, 0.31, 0.45, 0.45,  4.3018927574157715
5, 45, 0.66, 0.42, 0.32, 0.49, 0.49,  4.441394329071045
5, 46, 0.67, 0.36, 0.26, 0.42, 0.42,  4.144241094589233
5, 47, 0.65, 0.33, 0.25, 0.39, 0.39,  4.281893730163574
5, 48, 0.66, 0.34, 0.25, 0.41, 0.41,  4.232666015625
5, 49, 0.66, 0.36, 0.27, 0.43, 0.43,  4.193933010101318
5, 50, 0.66, 0.36, 0.27, 0.43, 0.43,  4.1471030712127686
5, 51, 0.66, 0.4, 0.31, 0.46, 0.46,  4.132181406021118
5, 52, 0.66, 0.35, 0.26, 0.41, 0.41,  4.140125036239624
5, 53, 0.66, 0.37, 0.27, 0.44, 0.44,  4.262777328491211
5, 54, 0.66, 0.38, 0.29, 0.44, 0.44,  4.182473421096802
5, 55, 0.66, 0.39, 0.31, 0.44, 0.44,  4.187047958374023
5, 56, 0.66, 0.39, 0.29, 0.46, 0.46,  4.265115261077881
5, 57, 0.66, 0.41, 0.32, 0.48, 0.48,  4.222441911697388
5, 58, 0.66, 0.33, 0.22, 0.41, 0.41,  4.133058547973633
5, 59, 0.66, 0.37, 0.28, 0.44, 0.44,  4.375326633453369
5, 60, 0.66, 0.36, 0.25, 0.45, 0.45,  4.3061254024505615
5, 61, 0.66, 0.34, 0.25, 0.41, 0.41,  4.208603143692017
5, 62, 0.66, 0.36, 0.26, 0.45, 0.45,  4.3067333698272705
5, 63, 0.66, 0.35, 0.25, 0.41, 0.41,  4.216058969497681
5, 64, 0.67, 0.36, 0.26, 0.43, 0.43,  4.184588670730591
5, 65, 0.66, 0.39, 0.31, 0.46, 0.46,  4.1082141399383545
5, 66, 0.66, 0.36, 0.25, 0.44, 0.44,  4.222572088241577
5, 67, 0.66, 0.38, 0.29, 0.45, 0.45,  4.224930047988892
5, 68, 0.66, 0.37, 0.28, 0.44, 0.44,  4.274808645248413
5, 69, 0.66, 0.35, 0.25, 0.43, 0.43,  4.295620441436768
5, 70, 0.67, 0.35, 0.27, 0.41, 0.41,  4.167173862457275
5, 71, 0.67, 0.32, 0.23, 0.39, 0.39,  4.260530948638916
5, 72, 0.67, 0.35, 0.26, 0.4, 0.4,  4.306276559829712
5, 73, 0.66, 0.34, 0.24, 0.4, 0.4,  4.127779245376587
5, 74, 0.66, 0.34, 0.26, 0.39, 0.39,  4.109379768371582
5, 75, 0.67, 0.39, 0.29, 0.47, 0.47,  3.925132989883423
5, 76, 0.66, 0.36, 0.27, 0.44, 0.44,  4.300043344497681
5, 77, 0.66, 0.36, 0.26, 0.45, 0.45,  4.22936487197876
5, 78, 0.66, 0.37, 0.27, 0.44, 0.44,  4.12840461730957
5, 79, 0.66, 0.33, 0.23, 0.4, 0.4,  4.166402816772461
5, 80, 0.66, 0.31, 0.24, 0.34, 0.34,  4.197115898132324
5, 81, 0.66, 0.4, 0.3, 0.47, 0.47,  4.019585609436035
5, 82, 0.66, 0.36, 0.27, 0.42, 0.42,  4.2240917682647705
5, 83, 0.65, 0.43, 0.36, 0.48, 0.48,  3.909824848175049
5, 84, 0.67, 0.37, 0.27, 0.44, 0.44,  4.1468727588653564
5, 85, 0.66, 0.33, 0.23, 0.4, 0.4,  4.288207054138184
5, 86, 0.67, 0.35, 0.26, 0.41, 0.41,  4.191558599472046
5, 87, 0.67, 0.37, 0.28, 0.44, 0.44,  4.071588039398193
5, 88, 0.67, 0.39, 0.3, 0.46, 0.46,  4.267538547515869
5, 89, 0.66, 0.34, 0.24, 0.42, 0.42,  4.0647594928741455
5, 90, 0.67, 0.35, 0.27, 0.41, 0.41,  4.1100428104400635
5, 91, 0.67, 0.37, 0.29, 0.41, 0.41,  4.093543529510498
5, 92, 0.66, 0.37, 0.27, 0.44, 0.44,  4.191029071807861
5, 93, 0.66, 0.37, 0.27, 0.44, 0.44,  4.206830024719238
5, 94, 0.67, 0.33, 0.25, 0.39, 0.39,  4.112472057342529
5, 95, 0.66, 0.4, 0.31, 0.47, 0.47,  4.218922138214111
5, 96, 0.66, 0.33, 0.24, 0.4, 0.4,  4.2682600021362305
5, 97, 0.66, 0.38, 0.28, 0.45, 0.45,  4.054271697998047
5, 98, 0.66, 0.36, 0.27, 0.42, 0.42,  4.187087774276733
5, 99, 0.66, 0.38, 0.28, 0.46, 0.46,  4.116683006286621
5, 100, 0.66, 0.38, 0.3, 0.44, 0.44,  4.205188751220703
5, 101, 0.66, 0.4, 0.31, 0.45, 0.45,  4.177230358123779
5, 102, 0.66, 0.4, 0.31, 0.46, 0.46,  4.128931045532227
5, 103, 0.66, 0.34, 0.23, 0.42, 0.42,  4.155166149139404
5, 104, 0.66, 0.36, 0.28, 0.42, 0.42,  4.110729217529297
5, 105, 0.67, 0.36, 0.27, 0.42, 0.42,  4.289347171783447
5, 106, 0.66, 0.34, 0.25, 0.4, 0.4,  4.021919012069702
5, 107, 0.66, 0.4, 0.32, 0.44, 0.44,  4.088472127914429
5, 108, 0.65, 0.32, 0.21, 0.41, 0.41,  4.282122850418091
5, 109, 0.67, 0.35, 0.27, 0.4, 0.4,  4.140064001083374
5, 110, 0.66, 0.33, 0.24, 0.4, 0.4,  4.252752065658569
5, 111, 0.66, 0.34, 0.26, 0.4, 0.4,  4.156923532485962
5, 112, 0.66, 0.37, 0.28, 0.44, 0.44,  4.0262291431427
5, 113, 0.66, 0.35, 0.25, 0.41, 0.41,  4.220487117767334
5, 114, 0.66, 0.39, 0.3, 0.46, 0.46,  4.187687873840332
5, 115, 0.65, 0.36, 0.26, 0.44, 0.44,  4.149269104003906
5, 116, 0.66, 0.4, 0.32, 0.46, 0.46,  4.23435115814209
5, 117, 0.66, 0.37, 0.27, 0.44, 0.44,  4.118146657943726
5, 118, 0.66, 0.32, 0.22, 0.4, 0.4,  4.2665510177612305
5, 119, 0.66, 0.38, 0.29, 0.44, 0.44,  4.1307384967803955
5, 120, 0.66, 0.31, 0.2, 0.4, 0.4,  4.156501054763794
5, 121, 0.65, 0.4, 0.32, 0.46, 0.46,  4.117625951766968
5, 122, 0.67, 0.37, 0.26, 0.45, 0.45,  4.251500129699707
5, 123, 0.66, 0.35, 0.27, 0.42, 0.42,  4.07750678062439
5, 124, 0.65, 0.39, 0.31, 0.45, 0.45,  4.0219504833221436
5, 125, 0.66, 0.4, 0.31, 0.45, 0.45,  4.084133625030518
5, 126, 0.67, 0.39, 0.3, 0.46, 0.46,  4.12662410736084
5, 127, 0.66, 0.39, 0.3, 0.46, 0.46,  4.306849479675293
5, 128, 0.66, 0.36, 0.28, 0.41, 0.41,  4.127131700515747
5, 129, 0.67, 0.36, 0.26, 0.44, 0.44,  4.31137490272522
5, 130, 0.67, 0.37, 0.28, 0.44, 0.44,  4.147259950637817
5, 131, 0.66, 0.39, 0.3, 0.45, 0.45,  4.246348857879639
5, 132, 0.66, 0.38, 0.3, 0.43, 0.43,  4.109738826751709
5, 133, 0.65, 0.39, 0.3, 0.46, 0.46,  4.15369725227356
5, 134, 0.67, 0.38, 0.28, 0.44, 0.44,  3.9596283435821533
5, 135, 0.67, 0.39, 0.28, 0.48, 0.48,  3.9803872108459473
5, 136, 0.66, 0.38, 0.28, 0.46, 0.46,  4.0977842807769775
5, 137, 0.66, 0.35, 0.24, 0.44, 0.44,  4.215220928192139
5, 138, 0.67, 0.38, 0.28, 0.45, 0.45,  4.143212556838989
5, 139, 0.66, 0.35, 0.25, 0.43, 0.43,  4.008962631225586
5, 140, 0.66, 0.35, 0.25, 0.43, 0.43,  4.354799747467041
5, 141, 0.66, 0.41, 0.33, 0.45, 0.45,  4.05577540397644
5, 142, 0.67, 0.35, 0.25, 0.42, 0.42,  4.124868392944336
5, 143, 0.66, 0.38, 0.28, 0.45, 0.45,  4.162910223007202
5, 144, 0.66, 0.35, 0.26, 0.43, 0.43,  3.9683384895324707
5, 145, 0.66, 0.34, 0.23, 0.42, 0.42,  4.079258918762207
5, 146, 0.67, 0.36, 0.27, 0.43, 0.43,  4.053695201873779
5, 147, 0.67, 0.36, 0.27, 0.43, 0.43,  4.146183013916016
5, 148, 0.67, 0.36, 0.27, 0.42, 0.42,  4.264806747436523
5, 149, 0.67, 0.37, 0.29, 0.43, 0.43,  4.136602878570557
5, 150, 0.66, 0.4, 0.3, 0.47, 0.47,  3.9969921112060547
5, 151, 0.67, 0.38, 0.29, 0.44, 0.44,  4.0378193855285645
5, 152, 0.66, 0.35, 0.26, 0.41, 0.41,  4.311264753341675
5, 153, 0.67, 0.39, 0.29, 0.46, 0.46,  4.154500484466553
5, 154, 0.67, 0.37, 0.28, 0.43, 0.43,  4.130017518997192
5, 155, 0.66, 0.36, 0.26, 0.44, 0.44,  4.255593538284302
5, 156, 0.66, 0.37, 0.28, 0.43, 0.43,  4.2466981410980225
5, 157, 0.66, 0.36, 0.28, 0.42, 0.42,  4.141875743865967
5, 158, 0.66, 0.35, 0.24, 0.45, 0.45,  4.164082288742065
5, 159, 0.65, 0.4, 0.33, 0.45, 0.45,  4.234920024871826
5, 160, 0.67, 0.37, 0.27, 0.44, 0.44,  4.063141822814941
5, 161, 0.66, 0.39, 0.29, 0.46, 0.46,  4.277627468109131
5, 162, 0.66, 0.42, 0.32, 0.48, 0.48,  4.231823444366455
5, 163, 0.67, 0.35, 0.27, 0.4, 0.4,  4.071254730224609
5, 164, 0.66, 0.33, 0.22, 0.42, 0.42,  4.145827293395996
5, 165, 0.66, 0.37, 0.28, 0.44, 0.44,  4.196825742721558
5, 166, 0.66, 0.37, 0.28, 0.43, 0.43,  4.003169775009155
5, 167, 0.66, 0.39, 0.31, 0.45, 0.45,  4.192911863327026
5, 168, 0.66, 0.37, 0.27, 0.45, 0.45,  4.1566386222839355
5, 169, 0.66, 0.35, 0.25, 0.42, 0.42,  4.1975531578063965
5, 170, 0.66, 0.35, 0.25, 0.44, 0.44,  4.053591966629028
5, 171, 0.67, 0.4, 0.3, 0.47, 0.47,  4.210826873779297
5, 172, 0.65, 0.41, 0.32, 0.47, 0.47,  4.141573667526245
5, 173, 0.66, 0.32, 0.23, 0.39, 0.39,  4.043406248092651
5, 174, 0.66, 0.36, 0.26, 0.44, 0.44,  4.153499126434326
5, 175, 0.65, 0.35, 0.26, 0.42, 0.42,  4.122295379638672
5, 176, 0.66, 0.36, 0.27, 0.43, 0.43,  4.291806221008301
5, 177, 0.67, 0.37, 0.29, 0.43, 0.43,  4.222856283187866
5, 178, 0.67, 0.36, 0.27, 0.43, 0.43,  4.269631385803223
5, 179, 0.66, 0.39, 0.3, 0.45, 0.45,  4.256884813308716
5, 180, 0.67, 0.32, 0.23, 0.39, 0.39,  4.310729026794434
5, 181, 0.66, 0.41, 0.32, 0.48, 0.48,  4.076171159744263
5, 182, 0.65, 0.41, 0.32, 0.48, 0.48,  4.005640506744385
5, 183, 0.67, 0.37, 0.28, 0.42, 0.42,  4.302631139755249
5, 184, 0.66, 0.38, 0.29, 0.45, 0.45,  4.3067238330841064
5, 185, 0.65, 0.37, 0.28, 0.44, 0.44,  4.0922956466674805
5, 186, 0.66, 0.42, 0.32, 0.5, 0.5,  4.017924547195435
5, 187, 0.66, 0.31, 0.22, 0.37, 0.37,  4.1197121143341064
5, 188, 0.65, 0.41, 0.32, 0.48, 0.48,  3.992074966430664
5, 189, 0.67, 0.41, 0.32, 0.46, 0.46,  4.054058074951172
5, 190, 0.66, 0.36, 0.26, 0.43, 0.43,  4.3276896476745605
5, 191, 0.66, 0.4, 0.31, 0.48, 0.48,  4.0831708908081055
5, 192, 0.66, 0.36, 0.26, 0.44, 0.44,  4.0729780197143555
5, 193, 0.66, 0.34, 0.26, 0.4, 0.4,  4.030195474624634
5, 194, 0.66, 0.36, 0.26, 0.43, 0.43,  4.302763223648071
5, 195, 0.66, 0.4, 0.31, 0.47, 0.47,  4.314640760421753
5, 196, 0.66, 0.37, 0.27, 0.44, 0.44,  4.145941734313965
5, 197, 0.66, 0.33, 0.24, 0.4, 0.4,  4.160641431808472
5, 198, 0.66, 0.35, 0.25, 0.42, 0.42,  4.074728488922119
5, 199, 0.66, 0.34, 0.25, 0.41, 0.41,  4.136104106903076
5, 200, 0.66, 0.37, 0.27, 0.45, 0.45,  4.17521071434021
5, 201, 0.66, 0.36, 0.26, 0.44, 0.44,  4.179998159408569
5, 202, 0.66, 0.38, 0.29, 0.46, 0.46,  4.134915828704834
5, 203, 0.67, 0.37, 0.28, 0.43, 0.43,  4.2818520069122314
5, 204, 0.67, 0.37, 0.28, 0.43, 0.43,  4.124123811721802
5, 205, 0.65, 0.42, 0.34, 0.48, 0.48,  4.073717832565308
5, 206, 0.66, 0.4, 0.3, 0.48, 0.48,  4.216230154037476
5, 207, 0.66, 0.39, 0.29, 0.46, 0.46,  4.192244052886963
5, 208, 0.66, 0.34, 0.26, 0.39, 0.39,  4.188411474227905
5, 209, 0.66, 0.32, 0.23, 0.38, 0.38,  4.049438714981079
5, 210, 0.66, 0.4, 0.3, 0.47, 0.47,  4.217740535736084
5, 211, 0.66, 0.37, 0.28, 0.42, 0.42,  4.058902978897095
5, 212, 0.67, 0.38, 0.29, 0.44, 0.44,  4.258964776992798
5, 213, 0.67, 0.36, 0.27, 0.44, 0.44,  4.115023136138916
5, 214, 0.67, 0.35, 0.26, 0.41, 0.41,  4.09203839302063
5, 215, 0.66, 0.35, 0.25, 0.43, 0.43,  4.238621711730957
5, 216, 0.66, 0.35, 0.25, 0.42, 0.42,  4.185579538345337
5, 217, 0.66, 0.34, 0.25, 0.41, 0.41,  3.997168779373169
5, 218, 0.67, 0.37, 0.29, 0.43, 0.43,  4.153660774230957
5, 219, 0.67, 0.36, 0.26, 0.43, 0.43,  4.210901975631714
5, 220, 0.66, 0.35, 0.25, 0.43, 0.43,  4.150275945663452
5, 221, 0.67, 0.36, 0.27, 0.42, 0.42,  4.185019493103027
5, 222, 0.67, 0.38, 0.28, 0.46, 0.46,  4.218750715255737
5, 223, 0.66, 0.38, 0.28, 0.45, 0.45,  4.261115312576294
5, 224, 0.65, 0.44, 0.34, 0.52, 0.52,  4.088595151901245
5, 225, 0.66, 0.35, 0.25, 0.42, 0.42,  4.243544101715088
5, 226, 0.66, 0.41, 0.32, 0.47, 0.47,  4.095170974731445
5, 227, 0.66, 0.39, 0.29, 0.48, 0.48,  4.0966479778289795
5, 228, 0.65, 0.38, 0.28, 0.45, 0.45,  4.2879414558410645
5, 229, 0.67, 0.37, 0.29, 0.43, 0.43,  4.2085206508636475
5, 230, 0.67, 0.33, 0.25, 0.39, 0.39,  4.101770401000977
5, 231, 0.67, 0.32, 0.22, 0.39, 0.39,  4.19242787361145
5, 232, 0.65, 0.39, 0.29, 0.46, 0.46,  4.14581823348999
5, 233, 0.66, 0.3, 0.21, 0.37, 0.37,  4.327854633331299
5, 234, 0.66, 0.34, 0.26, 0.4, 0.4,  4.1670472621917725
5, 235, 0.66, 0.36, 0.27, 0.43, 0.43,  4.133825063705444
5, 236, 0.65, 0.39, 0.3, 0.46, 0.46,  4.260977745056152
